Class/Concept,법적근거,클래스,URI,표제어,설명,상위 클래스,동치관계(koad:hualEquivalent)
Concept,No,AdministrativeCity,http://vocab.datahub.kr/def/administrative-division/AdministrativeCity,행정시,"특별자치도 내에서 행정 편의를 위해 설치된 시를 말한다. 현재 제주특별자치도의 제주시와 서귀포시가 이에 해당한다. 행정시는 일반 시와 달리 자치권이 없는 행정기관이다. 시장은 도지사가 임명하며, 별도의 시의회를 두지 않는다. 특별자치도로부터 위임받은 사무를 처리하며, 주민생활과 밀접한 행정서비스를 제공한다. 행정시는 법인격이 없고 예산편성권이나 조례제정권도 없어, 특별자치도의 하부행정기관으로서의 성격을 갖는다.",,
Concept,No,AdministrativeDistrict,http://vocab.datahub.kr/def/administrative-division/AdministrativeDistrict,행정구,"50만 이상 대도시의 행정 효율과 주민 편의를 위해 설치하는 행정기관이다. 자치권이 없는 행정 단위로, 해당 시의 직속 기관이다. 구청장은 일반적으로 시장이 임명하며, 별도의 구의회는 없다. 시장의 지휘·감독을 받아 위임된 사무를 처리한다. 주로 특례시나 대도시에서 볼 수 있으며, 동을 관할한다. 행정구는 자치구와 달리 독자적인 예산 편성권이나 조례 제정권이 없고, 시의 정책을 집행하는 역할을 주로 수행한다.",,
Class,Yes,AdministrativeDong,http://vocab.datahub.kr/def/administrative-division/AdministrativeDong,행정동,법정동을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정동을 통합하거나 하나의 법정동을 분할하여 만들어진다. 주민센터가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,koad:Dong,koad:AdministrativeNeighborhood
Class,Yes,AdministrativeMyeon,http://vocab.datahub.kr/def/administrative-division/AdministrativeMyeon,행정면,법정면을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정면을 통합하거나 하나의 법정면을 분할하여 만들어진다. 면사무소가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,koad:Myeon,koad:AdministrativeTownship
Concept,No,AdministrativeNeighborhood,http://vocab.datahub.kr/def/administrative-division/AdministrativeNeighborhood,행정동,법정동을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정동을 통합하거나 하나의 법정동을 분할하여 만들어진다. 주민센터가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,,
Class,Yes,AdministrativeRi,http://vocab.datahub.kr/def/administrative-division/AdministrativeRi,행정리,지방자치단체의 조례에 따라 하나의 리를 2개 이상의 라로 운영하거나 2개 이상의 리를 하나의 리로 운영하는 행정 목적의 명칭이다.,koad:Ri,koad:AdministrativeRuralVillage
Concept,No,AdministrativeRuralVillage,http://vocab.datahub.kr/def/administrative-division/AdministrativeRuralVillage,행정리,지방자치단체의 조례에 따라 하나의 리를 2개 이상의 라로 운영하거나 2개 이상의 리를 하나의 리로 운영하는 행정 목적의 명칭이다.,,
Class,Yes,AdministrativeSi,http://vocab.datahub.kr/def/administrative-division/AdministrativeSi,행정시,"특별자치도 내에서 행정 편의를 위해 설치된 시를 말한다. 현재 제주특별자치도의 제주시와 서귀포시가 이에 해당한다. 행정시는 일반 시와 달리 자치권이 없는 행정기관이다. 시장은 도지사가 임명하며, 별도의 시의회를 두지 않는다. 특별자치도로부터 위임받은 사무를 처리하며, 주민생활과 밀접한 행정서비스를 제공한다. 행정시는 법인격이 없고 예산편성권이나 조례제정권도 없어, 특별자치도의 하부행정기관으로서의 성격을 갖는다.",koad:Si,koad:AdministrativeCity
Concept,No,AdministrativeTownship,http://vocab.datahub.kr/def/administrative-division/AdministrativeTownship,행정면,법정면을 기반으로 주민 편의와 행정 효율을 위해 설치된 행정 단위이다. 일반적으로 여러 개의 법정면을 통합하거나 하나의 법정면을 분할하여 만들어진다. 면사무소가 설치되어 각종 행정 서비스를 제공하는 실질적인 행정 단위로 기능한다.,,
Class,No,AutonomousCity,http://vocab.datahub.kr/def/administrative-division/AutonomousCity,자치시,"자치권이 부여된 시의 유형이다. 일반적으로 기초지방자치단체로서의 지위를 가지며, 독자적인 의사결정권과 행정권을 행사할 수 있다. 자치시는 시장과 시의회를 주민이 직접 선출하며, 법령의 범위 내에서 조례를 제정할 수 있는 권한을 가진다. 현재 대한민국의 대부분의 시가 이 자치시의 형태로 운영되고 있으며, 도시 지역의 특성에 맞는 행정 서비스를 제공한다. 다만, 특별시, 광역시, 특별자치시 등과는 구별되는 개념이다.",koad:Si,
Concept,No,AutonomousDistrict,http://vocab.datahub.kr/def/administrative-division/AutonomousDistrict,자치구,"특별시와 광역시의 관할구역 안에 설치되는 기초지방자치단체이다. 독자적인 자치권과 법인격을 가지며, 구청장과 구의회를 선출한다. 행정적으로는 동을 두어 관리한다. 일반 시·군과 같은 지위를 가지지만, 도시 특성에 맞는 행정을 수행한다. 재정과 인사권 등에서 일부 제약이 있으나, 지역 주민들의 복지와 생활에 밀접한 자치 사무를 독립적으로 처리한다.",,
Class,Yes,AutonomousGu,http://vocab.datahub.kr/def/administrative-division/AutonomousGu,자치구,"특별시와 광역시의 관할구역 안에 설치되는 기초지방자치단체이다. 독자적인 자치권과 법인격을 가지며, 구청장과 구의회를 선출한다. 행정적으로는 동을 두어 관리한다. 일반 시·군과 같은 지위를 가지지만, 도시 특성에 맞는 행정을 수행한다. 재정과 인사권 등에서 일부 제약이 있으나, 지역 주민들의 복지와 생활에 밀접한 자치 사무를 독립적으로 처리한다.",koad:Gu,koad:AutonomousDistrict
Class,Yes,Ban,http://vocab.datahub.kr/def/administrative-division/Ban,반,"동의 하부 행정단위로, 주로 도시 지역에서 사용된다. 주민 자치 조직의 기본 단위이며, 행정 편의와 주민 생활의 편익을 도모하기 위해 설치된다. 일정 수의 가구를 묶어 하나의 반을 구성하며, 보통 20~30가구 정도가 하나의 반을 이룬다. 반장은 주민들 중에서 선출되거나 임명되며, 행정기관과 주민 사이의 연락책 역할을 한다.",koad:KoreaAdministrativeDivision,koad:Hamlet
Concept,No,City,http://vocab.datahub.kr/def/administrative-division/City,시,"도시 형태를 갖춘 지역에 설치되는 기초지방자치단체의 유형이다. 일반적으로 인구 5만 이상이어야 하며, 도의 관할 구역 안에 있다. 시는 자치권과 법인격을 가지며, 시장과 시의회를 선출한다. 설치 주체와 자치단체의 구분에 따라 자치시, 행정시로 구분된다. 자치시는 도, 특별자치도에 설치하는 기초자치단체이고, 행정시는 특별자치도에 설치할 수 있으나 지방자치단체가 아니다. 행정적으로는 동을 주로 두며, 농촌 지역이 포함된 경우 읍, 면을 둘 수 있다.",,
Concept,No,County,http://vocab.datahub.kr/def/administrative-division/County,군,"주로 농어촌 지역에 설치되는 기초지방자치단체이다. 도의 관할 구역 안에 있으며, 광역시나 특별자치도에도 설치될 수 있다. 군은 자치권과 법인격을 가지며, 군수와 군의회를 선출한다. 행정적으로는 읍과 면을 두어 관리한다. 군청이 설치되어 지역 행정 서비스를 제공하며, 지역 특성에 맞는 농어촌 중심의 행정을 수행한다.",,
Concept,No,District,http://vocab.datahub.kr/def/administrative-division/District,구,"특별시, 광역시, 특례시 등 대도시의 하부 행정단위이다. 자치구와 일반구(행정구)로 구분된다. 자치구는 기초지방자치단체로서 독자적인 자치권을 가지며, 일반구는 행정 편의를 위한 단위이다. 구청이 설치되어 행정 서비스를 제공하며, 동을 하부 행정단위로 둔다. 구청장이 관리하며, 도시 지역의 행정 업무를 수행한다.",,
Class,Yes,Do,http://vocab.datahub.kr/def/administrative-division/Do,도,"광역지방자치단체의 한 유형이다. 현재 대한민국에는 6개의 도(경기도, 충청남도, 충청북도, 전라남도, 경상남도, 경상북도)가 있다. 도는 넓은 지역을 관할하며, 그 안에 여러 기초지방자치단체(시, 군)를 둔다. 도지사와 도의회를 선출하여 자치권을 행사한다. 도청이 설치되어 광역 단위의 행정 서비스를 제공하며, 관할 지역의 균형 발전과 광역 단위 정책을 수립, 시행한다. 중앙정부와 기초지방자치단체 사이에서 조정자 역할을 하며, 지역의 특성에 맞는 행정을 수행한다.",koad:RegionalLocalGovernment,koad:Province
Class,Yes,Dong,http://vocab.datahub.kr/def/administrative-division/Dong,동,"시나 구의 하부 행정구역으로, 주로 도시 지역에 설치된다. 법정동과 행정동으로 구분된다. 법정동은 법률로 정해진 공식 행정구역이며 주소에 사용된다. 행정동은 주민 편의와 행정 효율을 위해 설치된 실제 행정 서비스 단위이다. 동 주민센터가 설치되어 각종 행정 서비스를 제공하며, 통과 반이라는 더 작은 단위로 나뉜다.",koad:KoreaAdministrativeDivision,koad:Neighborhood
Class,Yes,Eup,http://vocab.datahub.kr/def/administrative-division/Eup,읍,"군이나 시의 하부 행정구역으로, 면보다 도시화된 지역에 설치된다. 인구 2만 이상이거나 도시적 형태를 갖춘 지역이 대상이다. 읍사무소가 설치되어 각종 행정 서비스를 제공하며, 리라는 더 작은 단위로 나뉜다. 읍장이 관리하고 중소 규모 도시 지역 주민들의 일상생활과 밀접한 행정 업무를 수행한다. 읍은 농촌과 도시의 중간적 성격을 지닌 행정단위이다.",koad:KoreaAdministrativeDivision,koad:Town
Concept,No,GenericDistrict,http://vocab.datahub.kr/def/administrative-division/GeneralDistrict,일반구,"자치구가 아닌 구로, 특례시 등에 설치되는 행정구역으로 기초지방자치단체의 지위를 갖지 않는다. 행정구 또는 일반구라고 표현하며 자치권이 없는 구를 의미하지만, 법적용어는 아니다. 법률적 위상이 기초자치단체의 하부 행정기관이므로 자치구와 달리 구청장을 선출하지 않고 시장이 임명한다.",,
Class,Yes,Gu,http://vocab.datahub.kr/def/administrative-division/Gu,구,"특별시, 광역시, 특례시 등 대도시의 하부 행정단위이다. 자치구와 일반구(행정구)로 구분된다. 자치구는 기초지방자치단체로서 독자적인 자치권을 가지며, 일반구는 행정 편의를 위한 단위이다. 구청이 설치되어 행정 서비스를 제공하며, 동을 하부 행정단위로 둔다. 구청장이 관리하며, 도시 지역의 행정 업무를 수행한다.",koad:MunicipalLocalGovernment,koad:District
Class,Yes,Gun,http://vocab.datahub.kr/def/administrative-division/Gun,군,"주로 농어촌 지역에 설치되는 기초지방자치단체이다. 도의 관할 구역 안에 있으며, 광역시나 특별자치도에도 설치될 수 있다. 군은 자치권과 법인격을 가지며, 군수와 군의회를 선출한다. 행정적으로는 읍과 면을 두어 관리한다. 군청이 설치되어 지역 행정 서비스를 제공하며, 지역 특성에 맞는 농어촌 중심의 행정을 수행한다.",koad:MunicipalLocalGovernment,koad:County
Concept,No,Hamlet,http://vocab.datahub.kr/def/administrative-division/Hamlet,반,"동의 하부 행정단위로, 주로 도시 지역에서 사용된다. 주민 자치 조직의 기본 단위이며, 행정 편의와 주민 생활의 편익을 도모하기 위해 설치된다. 일정 수의 가구를 묶어 하나의 반을 구성하며, 보통 20~30가구 정도가 하나의 반을 이룬다. 반장은 주민들 중에서 선출되거나 임명되며, 행정기관과 주민 사이의 연락책 역할을 한다.",,
Class,Yes,LocalGovernment,http://vocab.datahub.kr/def/administrative-division/LocalGovernment,지방자치단체,"일정한 지역을 기초로 그 지역의 주민이 자치권을 가지고 지역의 공공사무를 처리하는 공법인이다. 대한민국 헌법과 지방자치법에 근거하여 설치된다. 광역지방자치단체(특별시, 광역시, 특별자치시, 도, 특별자치도)와 기초지방자치단체(시, 군, 구)로 구분된다. 자치단체장과 지방의회를 주민이 직접 선출하며, 자치입법권, 자치행정권, 자치재정권 등을 행사한다. 중앙정부와 별도로 지역의 특성에 맞는 행정을 수행하며, 주민의 복리 증진을 위한 서비스를 제공한다.",koad:KoreaAdministrativeDivision,
Class,Yes,MetropolitanCity,http://vocab.datahub.kr/def/administrative-division/MetropolitanCity,광역시,"광역지방자치단체의 한 유형으로, 인구 100만 이상의 대도시를 대상으로 한다. 현재 부산, 대구, 인천, 광주, 대전, 울산이 해당된다. 도와 동등한 지위를 가지며, 중앙정부 직할로 운영된다. 기초자치단체로 자치구와 군을 둘 수 있다. 광역시장과 시의회를 선출하여 자치권을 행사한다. 도시 특성에 맞는 행정을 수행하며, 광역 단위의 정책 수립과 시행, 산하 기초자치단체 간 조정 역할을 한다. 하위 기초자치단체로 자치구, 읍, 면 지역을 관할하는 군을 설치할 수 있다.",koad:RegionalLocalGovernment,
Class,No,MunicipalLocalGovernment,http://vocab.datahub.kr/def/administrative-division/MunicipalLocalGovernment,기초지방자치단체,"대한민국의 지방자치단체의 유형으로 광역자치단체의 산하에 있다. 기초자치단체는 시(도, 특별자치도 산하), 군(광역시, 도, 특별자치도 산하), 구(특별시, 광역시 산하)가 있다. 지리적으로 기초자치단체는 광역자치단체의 관할구역 안에 있지만, 광역자치단체에 상하로 소속(예속)되는 것이 아니라 산하 관계에 놓인 서로 별개의 법인격을 가진 독립된 주체이며, 법적 지위를 누린다.",koad:LocalGovernment,
Class,Yes,Myeon,http://vocab.datahub.kr/def/administrative-division/Myeon,면,"군의 하부 행정구역으로, 주로 농어촌 지역에 설치된다. 법정면과 행정면으로 구분된다. 법정면은 법률로 정해진 공식 행정구역이며 주소에 사용된다. 행정면은 행정 편의를 위해 설치된 실제 행정 서비스 단위이다. 면사무소가 설치되어 각종 행정 서비스를 제공하며, 리라는 더 작은 단위로 나뉜다.",koad:KoreaAdministrativeDivision,koad:Township
Concept,No,Neighborhood,http://vocab.datahub.kr/def/administrative-division/Neighborhood,동,"시나 구의 하부 행정구역으로, 주로 도시 지역에 설치된다. 법정동과 행정동으로 구분된다. 법정동은 법률로 정해진 공식 행정구역이며 주소에 사용된다. 행정동은 주민 편의와 행정 효율을 위해 설치된 실제 행정 서비스 단위이다. 동 주민센터가 설치되어 각종 행정 서비스를 제공하며, 통과 반이라는 더 작은 단위로 나뉜다.",,
Class,No,NonAutonomousDistrict,http://vocab.datahub.kr/def/administrative-division/NonAutonomousDistrict,자치구가 아닌 구,"특례시 등에 설치되는 행정구역으로, 기초지방자치단체의 지위를 갖지 않는다. 흔히 '일반구' 또는 '행정구'라고도 불린다. 이는 행정 효율성을 위해 설치된 행정기관으로, 독자적인 자치권이 없다. 구청장은 일반적으로 시장이 임명하며, 구의회가 없다. 시의 직속 기관으로서 시장의 지휘·감독을 받아 위임된 사무를 처리한다.",koad:Gu,koad:GenericDistrict; koad:AdministrativeDistrict
Concept,No,Province,http://vocab.datahub.kr/def/administrative-division/Province,도,"광역지방자치단체의 한 유형이다. 현재 대한민국에는 6개의 도(경기도, 충청남도, 충청북도, 전라남도, 경상남도, 경상북도)가 있다. 도는 넓은 지역을 관할하며, 그 안에 여러 기초지방자치단체(시, 군)를 둔다. 도지사와 도의회를 선출하여 자치권을 행사한다. 도청이 설치되어 광역 단위의 행정 서비스를 제공하며, 관할 지역의 균형 발전과 광역 단위 정책을 수립, 시행한다. 중앙정부와 기초지방자치단체 사이에서 조정자 역할을 하며, 지역의 특성에 맞는 행정을 수행한다.",,
Class,No,RegionalLocalGovernment,http://vocab.datahub.kr/def/administrative-division/RegionalLocalGovernment,광역지방자치단체,"대한민국의 지방자치단체의 유형으로 대한민국 정부의 직할이다. 지방자치법 제2조 제1항은 특별시, 광역시, 도, 특별자치시, 특별자치도를 규정하고 있다. 법인으로 기초자치단체와 산하 관계를 갖는다.",koad:LocalGovernment,
Class,Yes,Ri,http://vocab.datahub.kr/def/administrative-division/Ri,리,"읍이나 면의 하부 행정구역으로, 농어촌 지역의 최소 행정단위이다. 법정리와 행정리로 구분된다. 법정리는 법률로 정해진 공식 행정구역이며 주소에 사용된다. 행정리는 행정 편의를 위해 설치된 단위로, 실제 행정 서비스 제공의 기본 단위가 된다. 리장이 관리하며, 주민 생활과 밀접한 행정 업무를 수행한다.",koad:KoreaAdministrativeDivision,koad:RuralVillage
Concept,No,RuralVillage,http://vocab.datahub.kr/def/administrative-division/RuralVillage,리,"읍이나 면의 하부 행정구역으로, 농어촌 지역의 최소 행정단위이다. 법정리와 행정리로 구분된다. 법정리는 법률로 정해진 공식 행정구역이며 주소에 사용된다. 행정리는 행정 편의를 위해 설치된 단위로, 실제 행정 서비스 제공의 기본 단위가 된다. 리장이 관리하며, 주민 생활과 밀접한 행정 업무를 수행한다.",,
Class,Yes,Si,http://vocab.datahub.kr/def/administrative-division/Si,시,"도시 형태를 갖춘 지역에 설치되는 기초지방자치단체의 유형이다. 일반적으로 인구 5만 이상이어야 하며, 도의 관할 구역 안에 있다. 시는 자치권과 법인격을 가지며, 시장과 시의회를 선출한다. 설치 주체와 자치단체의 구분에 따라 자치시, 행정시로 구분된다. 자치시는 도, 특별자치도에 설치하는 기초자치단체이고, 행정시는 특별자치도에 설치할 수 있으나 지방자치단체가 아니다. 행정적으로는 동을 주로 두며, 농촌 지역이 포함된 경우 읍, 면을 둘 수 있다.",koad:MunicipalLocalGovernment,koad:City
Class,Yes,Special-purposeLocalGovernment,http://vocab.datahub.kr/def/administrative-division/Special-purposeLocalGovernment,특별지방자치단체,2개 이상의 지방자치단체가 공동으로 특정한 목적을 위하여 광역적으로 사무를 처리하기 위해 별도의 지방자치단체를 구성한 것을 말한다. 특별지방자치단체는 하나의 법인이며 자체 지방의회가 설치되고 단체장이 선출된다.,koad:LocalGovernment,
Concept,No,SpecialCity,http://vocab.datahub.kr/def/administrative-division/SpecialCity,특례시,"인구 100만 이상 대도시를 의미하며(지방자치법 제198조 제2항), 대도시 및 시ㆍ군ㆍ구의 행정, 재정 운영 및 국가의 지도ㆍ감독에 대해서는 그 특성을 고려하여 관계 법률로 정하는 바에 따라 추가로 특례를 둘 수 있다. 특례시는 일정 기준에 부합하는 지방자치단체를 의미하는 행정적 명칭이며 독립된 행정구역이 아니다. 
일반 시보다 더 많은 행정 권한을 가지지만, 광역시보다는 적은 자치권을 갖는다. 도의 관할 하에 있으면서도 일부 사무에 대해 도의 간섭 없이 직접 처리할 수 있는 권한을 가진다. 행정구를 설치할 수 있으며, 도시 계획, 환경, 건설 등의 분야에서 확대된 자치권을 행사한다. 현재 경기도 수원시, 경기도 용인시, 경기도 고양시, 경상남도 창원시가 특례시로 지정되어 있다.",,
Class,Yes,SpecialMetropolitanCity,http://vocab.datahub.kr/def/administrative-division/SpecialMetropolitanCity,특별시,"광역지방자치단체의 유형으로 서울특별시가 유일하다. 중앙정부 직할로 운영되며, 도와 동등하거나 그 이상의 지위를 갖는다. 기초자치단체로 자치구만을 두며, 군은 설치할 수 없다. 특별시장과 시의회를 선출하여 자치권을 행사한다. 특별시의 '특별'은 '특별히 도에서 분리된' 의미이지만, 행정구역의 영문 표기는 'special'을 사용한다.",koad:RegionalLocalGovernment,
Class,Yes,SpecialSelf-governingCity,http://vocab.datahub.kr/def/administrative-division/SpecialSelf-governingCity,특별자치시,"광역지방자치단체의 한 유형으로, 현재 세종특별자치시가 유일하다. 일반적인 시보다 높은 수준의 자치권을 가지며, 광역시와 유사한 지위를 갖는다. 기초지방자치단체를 두지 않고 광역과 기초의 기능을 통합하여 수행한다. 중앙정부로부터 행정, 재정 등에서 특별한 자치권을 부여받아 운영되며, 국가균형발전을 위한 행정중심복합도시로서의 역할을 수행한다. 시장과 시의회를 선출하여 자치권을 행사한다.",koad:RegionalLocalGovernment,
Class,Yes,SpecialSelf-governingProvince,http://vocab.datahub.kr/def/administrative-division/SpecialSelf-governingProvince,특별자치도,"대한민국의 지방자치단체인 도의 자치권한을 강화한 형태의 행정구역이다. 제주특별자치도가 2006년 7월 1일에 처음 설치되었고, 강원특별자치도(2023년 6월 14일), 전북특별자치도(2024년 1월 18일)에 각각 설치되었다. 특별자치도는 법률이 정하는 바에 따라 (자치)시와 군을 설치할 수 있다.",koad:RegionalLocalGovernment,
Class,Yes,SpecialSi,http://vocab.datahub.kr/def/administrative-division/SpecialSi,특례시,"인구 100만 이상 대도시를 의미하며(지방자치법 제198조 제2항), 대도시 및 시ㆍ군ㆍ구의 행정, 재정 운영 및 국가의 지도ㆍ감독에 대해서는 그 특성을 고려하여 관계 법률로 정하는 바에 따라 추가로 특례를 둘 수 있다. 특례시는 일정 기준에 부합하는 지방자치단체를 의미하는 행정적 명칭이며 독립된 행정구역이 아니다. 
일반 시보다 더 많은 행정 권한을 가지지만, 광역시보다는 적은 자치권을 갖는다. 도의 관할 하에 있으면서도 일부 사무에 대해 도의 간섭 없이 직접 처리할 수 있는 권한을 가진다. 행정구를 설치할 수 있으며, 도시 계획, 환경, 건설 등의 분야에서 확대된 자치권을 행사한다. 현재 경기도 수원시, 경기도 용인시, 경기도 고양시, 경상남도 창원시가 특례시로 지정되어 있다.",koad:Si,koad:SpecialCity
Class,No,StatutoryNeighborhood,http://vocab.datahub.kr/def/administrative-division/StatutoryNeighborhood,법정동,"대한민국 법정 구역으로, 법률(관습법)로 지정된 일정한 명칭과 영역을 지닌 구역이다. 역사적 연원이나 지리적 특성에 따라 형성된 경우가 많으며, 변경이 쉽지 않다. 하나의 법정동이 여러 개의 행정동으로 나뉘거나, 여러 개의 법정동이 하나의 행정동으로 통합되어 관리될 수 있다. 토지대장, 건축물대장 등 공적 장부상의 주소로 사용되며, 재산권 행사와 관련된 법적 효력을 갖는다.",koad:Dong,
Class,No,StatutoryRuralVillage,http://vocab.datahub.kr/def/administrative-division/StatutoryRuralVillage,법정리,"법률로 정해진 리로, 행정리와 구분된다. 주소를 표기할 때 사용되는 공식 행정구역이다.",koad:Ri,
Class,No,StatutoryTownship,http://vocab.datahub.kr/def/administrative-division/StatutoryTownship,법정면,"법률로 정해진 면으로, 행정면과 구분된다. 주소를 표기할 때 사용되는 공식 행정구역이다.",koad:Myeon,
Class,Yes,Tong,http://vocab.datahub.kr/def/administrative-division/Tong,통,"읍·면의 하부 행정단위로, 주로 농촌 지역에서 사용된다. 도시의 '반'과 유사한 기능을 하는 주민 자치 조직의 기본 단위이다. 일정 수의 가구를 묶어 하나의 통을 구성하며, 보통 20~30가구 정도가 하나의 통을 이룬다. 통장은 주민들 중에서 선출되거나 임명되며, 행정기관과 주민 사이의 연락책 역할을 한다. 주민등록, 민방위, 마을 공동 작업, 방범 등 생활 밀착형 행정 업무를 보조하고, 주민 간 친목도모와 상호부조 활동을 촉진한다.",koad:KoreaAdministrativeDivision,koad:UrbanVillage
Concept,No,Town,http://vocab.datahub.kr/def/administrative-division/Town,읍,"군이나 시의 하부 행정구역으로, 면보다 도시화된 지역에 설치된다. 인구 2만 이상이거나 도시적 형태를 갖춘 지역이 대상이다. 읍사무소가 설치되어 각종 행정 서비스를 제공하며, 리라는 더 작은 단위로 나뉜다. 읍장이 관리하고 중소 규모 도시 지역 주민들의 일상생활과 밀접한 행정 업무를 수행한다. 읍은 농촌과 도시의 중간적 성격을 지닌 행정단위이다.",,
Concept,No,Township,http://vocab.datahub.kr/def/administrative-division/Township,면,"군의 하부 행정구역으로, 주로 농어촌 지역에 설치된다. 법정면과 행정면으로 구분된다. 법정면은 법률로 정해진 공식 행정구역이며 주소에 사용된다. 행정면은 행정 편의를 위해 설치된 실제 행정 서비스 단위이다. 면사무소가 설치되어 각종 행정 서비스를 제공하며, 리라는 더 작은 단위로 나뉜다.",,
Concept,No,UrbanVillage,http://vocab.datahub.kr/def/administrative-division/UrbanVillage,통,"읍·면의 하부 행정단위로, 주로 농촌 지역에서 사용된다. 도시의 '반'과 유사한 기능을 하는 주민 자치 조직의 기본 단위이다. 일정 수의 가구를 묶어 하나의 통을 구성하며, 보통 20~30가구 정도가 하나의 통을 이룬다. 통장은 주민들 중에서 선출되거나 임명되며, 행정기관과 주민 사이의 연락책 역할을 한다. 주민등록, 민방위, 마을 공동 작업, 방범 등 생활 밀착형 행정 업무를 보조하고, 주민 간 친목도모와 상호부조 활동을 촉진한다.",,